# Intersecting genes (threshold: 60.0%)
# Total genes in file1: 3705
# Total genes in file2: 7859
# Total matches found: 2598
# Match percentage: 70.12%
# Average values:
#   pseudopipe coverage: 0.53
#   pseudoscope coverage: 0.57
#   pseudopipe identity: 0.66
#   pseudoscope identity: 0.63
#   overlap: 94.93%

# chrom	ppipe_start	ppipe_end	pscope_start	pscope_end	ppipe_cov	pscope_cov	ppipe_ident	pscope_ident	overlap
BK010421.1	70581	70733	70158	73304	0.16	1.00	0.45	0.89	100.00%
BK010421.1	71288	71410	70158	73304	0.38	1.00	0.81	0.89	100.00%
BK010421.1	155029	156255	154626	156084	0.76	1.00	0.99	0.97	86.06%
CP002687.1	102138	103673	100850	105372	0.54	0.53	0.68	0.91	100.00%
CP002687.1	321118	321573	321118	321678	0.16	0.39	0.48	0.43	100.00%
CP002687.1	322364	323008	321902	323035	0.76	0.77	0.52	0.54	100.00%
CP002687.1	604101	604295	604066	604298	0.50	0.23	0.51	0.47	100.00%
CP002687.1	636011	636865	635255	636883	0.95	0.97	0.37	0.32	100.00%
CP002687.1	641838	642205	641811	642202	0.47	0.49	0.78	0.75	99.18%
CP002687.1	655803	655971	655803	655959	0.13	0.12	0.71	0.73	92.90%
CP002687.1	664012	665000	664125	665039	0.61	0.66	0.30	0.25	88.57%
CP002687.1	762329	762451	762329	762448	0.91	0.89	0.81	0.81	97.56%
CP002687.1	885680	886109	885680	886103	0.40	0.39	0.54	0.55	98.60%
CP002687.1	965068	965301	965068	965298	0.16	0.16	0.97	0.97	98.72%
CP002687.1	994154	994320	994154	994314	0.33	0.32	0.63	0.62	96.41%
CP002687.1	1337728	1337965	1337728	1337962	0.77	0.76	0.80	0.80	98.74%
CP002687.1	1355667	1356018	1355667	1356015	0.39	0.39	0.68	0.68	99.15%
CP002687.1	1373285	1373597	1373285	1373594	0.96	0.95	0.86	0.86	99.04%
CP002687.1	1448681	1448797	1448624	1448794	0.06	0.08	0.85	0.67	97.44%
CP002687.1	1454478	1454588	1450864	1456417	0.21	0.97	0.81	0.28	100.00%
CP002687.1	1522930	1523232	1521862	1523218	0.89	0.66	0.70	0.52	95.38%
CP002687.1	1649072	1649320	1649072	1649428	0.11	0.25	0.63	0.61	100.00%
CP002687.1	1762875	1763798	1762875	1766220	0.55	0.95	0.34	0.33	100.00%
CP002687.1	1765638	1766223	1762875	1766220	0.57	0.95	0.34	0.33	99.49%
CP002687.1	1830035	1830165	1826098	1835339	0.98	0.29	0.84	0.80	100.00%
CP002687.1	1850393	1850695	1850390	1850587	0.61	0.97	0.56	0.47	64.36%
CP002687.1	1865374	1865728	1859778	1866543	0.99	0.96	0.76	0.28	100.00%
CP002687.1	1865929	1866531	1859778	1866543	0.60	0.96	0.33	0.28	100.00%
CP002687.1	1867902	1868186	1867842	1868171	0.17	0.20	0.96	0.40	94.74%
CP002687.1	1975688	1976260	1975682	1976044	0.47	0.33	0.48	0.55	62.30%
CP002687.1	1992358	1993201	1992358	1993905	0.21	0.22	0.65	0.64	100.00%
CP002687.1	1997556	1998070	1997556	1998055	0.48	0.97	0.32	0.66	97.09%
CP002687.1	2018938	2019607	2018926	2019405	0.42	0.33	0.32	0.28	69.85%
CP002687.1	2080130	2080321	2079368	2080840	0.55	0.95	0.55	0.42	100.00%
CP002687.1	2081370	2081689	2081361	2081584	0.32	0.22	0.52	0.47	67.19%
CP002687.1	2094318	2094748	2090056	2094745	0.45	0.55	0.78	0.73	99.30%
CP002687.1	2136482	2137554	2136482	2137551	0.99	0.97	0.46	0.40	99.72%
CP002687.1	2143320	2144382	2143266	2147215	0.34	1.00	0.45	0.56	100.00%
CP002687.1	2184420	2184717	2184080	2185223	0.73	0.99	0.62	0.86	100.00%
CP002687.1	2185717	2186517	2185779	2186526	0.45	0.44	0.36	0.42	92.26%
CP002687.1	2264205	2264563	2264109	2264560	0.54	0.68	0.47	0.43	99.16%
CP002687.1	2348090	2348813	2348030	2348922	0.77	0.75	0.45	0.32	100.00%
CP002687.1	2349745	2350349	2349827	2350259	0.27	0.22	0.55	0.29	71.57%
CP002687.1	2357418	2357951	2357460	2366751	0.50	1.00	0.31	0.48	92.13%
CP002687.1	2363454	2364943	2357460	2366751	0.90	1.00	0.32	0.48	100.00%
CP002687.1	2365562	2366754	2357460	2366751	1.00	1.00	0.68	0.48	99.75%
CP002687.1	2379439	2379822	2379409	2379819	0.31	0.34	0.50	0.49	99.22%
CP002687.1	2569717	2569868	2569500	2569852	0.74	0.30	0.72	0.37	89.47%
CP002687.1	2587432	2587646	2587499	2587815	0.58	0.56	0.55	0.72	68.84%
CP002687.1	2589557	2590034	2589646	2590070	0.46	0.51	0.69	0.77	81.38%
CP002687.1	2654449	2654958	2654449	2655057	0.18	0.42	0.53	0.48	100.00%
CP002687.1	2674248	2674547	2663777	2674535	1.00	0.59	0.92	0.28	96.00%
CP002687.1	2777408	2777611	2777393	2777608	0.28	0.30	0.62	0.59	98.53%
CP002687.1	2811374	2812507	2811638	2812985	0.76	0.98	0.55	0.52	76.72%
CP002687.1	2813307	2814241	2813307	2814238	0.96	0.96	0.80	0.80	99.68%
CP002687.1	3065271	3069805	3065250	3069802	0.27	0.28	0.62	0.50	99.93%
CP002687.1	3115978	3116609	3115964	3116606	0.26	0.99	0.67	0.70	99.53%
CP002687.1	3145714	3147478	3145714	3147490	0.47	0.48	0.83	0.80	100.00%
CP002687.1	3147553	3147657	3147553	3148228	0.21	0.41	0.77	0.74	100.00%
CP002687.1	3150714	3150938	3150714	3150935	0.78	0.77	0.70	0.70	98.67%
CP002687.1	3302396	3303905	3302439	3303902	0.74	0.71	0.64	0.69	96.95%
CP002687.1	3305070	3305921	3303930	3305957	0.86	0.99	0.57	0.66	100.00%
CP002687.1	3322443	3322601	3322445	3322783	0.39	0.15	0.81	0.51	98.74%
CP002687.1	3417484	3417944	3417576	3417956	0.91	0.73	0.37	0.38	80.04%
CP002687.1	3572990	3575520	3572987	3576767	0.99	0.91	0.73	0.70	100.00%
CP002687.1	3577058	3577492	3577052	3577489	1.00	0.91	0.68	0.72	99.31%
CP002687.1	3654418	3655065	3652845	3658360	1.00	0.90	0.82	0.72	100.00%
CP002687.1	3656673	3657323	3652845	3658360	0.25	0.90	0.51	0.72	100.00%
CP002687.1	3705453	3708668	3705426	3709811	0.97	0.92	0.63	0.70	100.00%
CP002687.1	3709347	3709717	3705426	3709811	1.00	0.92	0.65	0.70	100.00%
CP002687.1	3710114	3710549	3710108	3710546	1.00	0.91	0.70	0.79	99.31%
CP002687.1	3723273	3723416	3723026	3723544	0.42	0.46	0.75	0.42	100.00%
CP002687.1	3725148	3725753	3724995	3729615	0.62	0.66	0.50	0.54	100.00%
CP002687.1	3730075	3730897	3730075	3730894	0.96	0.96	0.62	0.62	99.64%
CP002687.1	3756264	3757552	3756099	3757573	0.49	0.92	0.67	0.67	100.00%
CP002687.1	3763864	3764082	3763765	3764079	0.41	0.34	0.49	0.41	98.63%
CP002687.1	3780653	3781152	3780653	3781149	1.00	0.99	0.78	0.81	99.40%
CP002687.1	3795839	3796342	3795800	3796363	0.57	0.57	0.29	0.28	100.00%
CP002687.1	3800363	3801129	3800048	3801123	0.80	0.68	0.46	0.28	99.22%
CP002687.1	3834671	3835058	3834713	3835094	0.82	0.80	0.81	0.78	89.18%
CP002687.1	3852320	3852945	3852358	3853014	0.43	0.44	0.33	0.31	93.93%
CP002687.1	3858712	3859192	3858712	3859189	0.99	0.99	0.74	0.74	99.38%
CP002687.1	3861973	3862132	3861781	3864777	0.35	0.85	0.72	0.67	100.00%
CP002687.1	3863270	3863377	3861781	3864777	0.29	0.85	0.72	0.67	100.00%
CP002687.1	3883291	3883570	3883147	3883518	0.23	0.21	0.42	0.37	81.43%
CP002687.1	4111267	4111365	4111267	4111362	1.00	0.97	0.88	0.88	96.97%
CP002687.1	4118909	4119158	4116365	4119597	0.42	0.68	0.59	0.69	100.00%
CP002687.1	4120446	4120617	4120446	4120614	1.00	0.98	0.82	0.82	98.26%
CP002687.1	4132315	4132704	4132306	4132833	0.13	0.53	0.45	0.28	100.00%
CP002687.1	4267733	4267880	4266817	4267883	0.17	0.24	0.70	0.71	100.00%
CP002687.1	4310358	4310504	4310346	4310501	0.37	0.34	0.76	0.60	97.96%
CP002687.1	4311260	4311427	4311260	4311379	0.14	0.09	0.59	0.61	71.43%
CP002687.1	4316663	4316891	4316663	4316879	0.15	0.15	0.79	0.82	94.76%
CP002687.1	4377721	4377837	4377730	4377834	0.25	0.23	0.69	0.75	89.74%
CP002687.1	4485074	4485805	4485059	4485814	0.52	0.54	0.48	0.47	100.00%
CP002687.1	4503183	4505825	4503165	4507066	0.97	0.92	0.77	0.76	100.00%
CP002687.1	4506429	4507069	4503165	4507066	1.00	0.92	0.83	0.76	99.53%
CP002687.1	4507363	4507794	4507357	4507791	0.99	0.90	0.66	0.71	99.31%
CP002687.1	4593398	4594583	4593251	4594694	0.51	0.99	0.61	0.68	100.00%
CP002687.1	4696492	4696625	4696492	4696622	0.12	0.12	0.84	0.84	97.76%
CP002687.1	4733681	4734009	4733642	4733950	0.85	0.64	0.54	0.61	82.07%
CP002687.1	4799850	4800725	4799850	4800722	0.29	0.28	0.71	0.76	99.66%
CP002687.1	4840502	4841144	4840655	4841485	0.45	0.52	0.78	0.77	76.21%
CP002687.1	4845129	4845474	4845129	4845471	1.00	0.99	0.88	0.70	99.13%
CP002687.1	4863216	4864026	4863306	4864023	0.39	0.28	0.58	0.73	88.53%
CP002687.1	4908536	4911666	4907376	4910869	0.07	0.67	0.77	0.93	74.54%
CP002687.1	4935323	4936318	4935323	4938981	1.00	0.99	0.70	0.73	100.00%
CP002687.1	4938667	4938984	4935323	4938981	0.52	0.99	0.68	0.73	99.06%
CP002687.1	4969749	4970170	4969604	4970146	0.74	0.96	0.38	0.43	94.31%
CP002687.1	4975286	4976575	4975286	4976557	0.89	0.88	0.61	0.61	98.60%
CP002687.1	4991313	4991477	4991319	4991474	0.45	0.43	0.78	0.81	94.55%
CP002687.1	5006505	5007148	5006541	5007747	1.00	0.97	0.71	0.58	94.41%
CP002687.1	5007430	5007867	5006541	5007747	1.00	0.97	0.62	0.58	72.60%
CP002687.1	5023154	5023438	5017421	5023435	0.48	0.76	0.84	0.68	98.95%
CP002687.1	5122093	5122473	5122093	5122545	0.78	0.93	0.29	0.29	100.00%
CP002687.1	5124332	5125212	5123265	5125194	0.71	0.85	0.61	0.71	97.96%
CP002687.1	5147263	5147397	5146763	5147427	0.27	0.48	0.78	0.77	100.00%
CP002687.1	5221184	5221381	5221184	5221378	0.08	0.08	0.65	0.65	98.48%
CP002687.1	5284810	5285403	5284810	5285693	0.65	0.73	0.71	0.62	100.00%
CP002687.1	5337854	5338030	5335428	5338027	0.25	0.50	0.78	0.70	98.31%
CP002687.1	5338130	5338460	5338127	5338360	0.24	0.31	0.68	0.55	69.79%
CP002687.1	5484614	5485145	5484614	5494845	0.33	0.38	0.68	0.69	100.00%
CP002687.1	5520265	5520555	5520343	5520663	0.29	0.61	0.94	0.47	73.20%
CP002687.1	5591881	5592336	5591818	5592210	0.65	0.35	0.31	0.26	72.37%
CP002687.1	5821214	5822400	5821211	5822424	0.98	0.98	0.59	0.48	100.00%
CP002687.1	5856992	5857117	5856992	5857114	0.19	0.18	1.00	1.00	97.62%
CP002687.1	5871542	5871719	5871551	5871728	0.32	0.32	0.85	0.84	94.94%
CP002687.1	5888845	5889022	5888854	5889031	0.32	0.32	0.85	0.84	94.94%
CP002687.1	5913689	5913895	5913689	5913892	0.76	0.75	0.78	0.78	98.55%
CP002687.1	5985822	5986654	5985900	5986651	0.75	0.68	0.51	0.54	90.28%
CP002687.1	6007688	6007885	5997766	6015009	0.52	0.26	0.85	0.31	100.00%
CP002687.1	6011776	6012223	5997766	6015009	0.20	0.26	0.61	0.31	100.00%
CP002687.1	6059898	6060722	6059898	6060753	0.69	0.66	0.60	0.60	100.00%
CP002687.1	6126883	6127389	6126835	6127434	0.49	0.68	0.36	0.28	100.00%
CP002687.1	6212276	6212578	6212264	6212578	0.33	0.29	0.52	0.35	100.00%
CP002687.1	6233808	6233975	6227441	6234213	0.14	0.71	0.82	0.50	100.00%
CP002687.1	6278865	6278978	6278865	6278975	0.08	0.08	0.84	0.84	97.37%
CP002687.1	6307686	6307835	6307659	6307883	0.12	0.15	0.68	0.53	100.00%
CP002687.1	6578804	6579021	6578792	6579018	0.81	0.84	0.85	0.83	98.62%
CP002687.1	6580168	6580302	6580168	6580299	0.10	0.10	0.65	0.55	97.78%
CP002687.1	6586826	6587033	6586826	6587030	0.08	0.08	0.78	0.78	98.56%
CP002687.1	6687143	6687331	6686545	6687310	0.10	0.12	0.79	0.64	88.89%
CP002687.1	6728812	6729191	6728934	6729434	0.32	0.28	0.91	0.27	67.89%
CP002687.1	6851026	6851190	6851029	6851178	0.18	0.16	0.86	0.80	90.91%
CP002687.1	6930640	6930980	6927676	6931016	0.16	0.54	0.82	0.66	100.00%
CP002687.1	6935826	6936946	6935787	6937057	0.51	0.92	0.41	0.53	100.00%
CP002687.1	6982319	6982675	6982307	6983601	0.45	0.93	0.70	0.69	100.00%
CP002687.1	6982664	6983603	6982307	6983601	0.33	0.93	0.69	0.69	99.79%
CP002687.1	7028753	7029181	7028753	7029199	0.20	0.20	0.75	0.73	100.00%
CP002687.1	7249587	7249829	7249587	7249826	0.43	0.42	0.47	0.47	98.77%
CP002687.1	7272377	7272570	7272377	7272585	0.41	0.44	0.85	0.80	100.00%
CP002687.1	7294774	7295076	7294732	7295073	0.86	0.96	0.38	0.36	99.01%
CP002687.1	7334340	7335410	7331798	7335407	0.92	0.91	0.80	0.71	99.72%
CP002687.1	7357201	7358067	7356337	7359089	0.74	0.26	0.55	0.78	100.00%
CP002687.1	7520100	7520848	7519977	7520887	0.32	0.68	0.43	0.42	100.00%
CP002687.1	7556102	7556696	7556030	7556693	0.52	0.57	0.64	0.60	99.50%
CP002687.1	7561647	7561986	7561672	7562004	0.28	0.27	0.85	0.81	92.65%
CP002687.1	7738680	7738867	7738697	7738864	0.39	0.35	0.67	0.68	89.36%
CP002687.1	7813103	7813924	7809303	7813849	0.83	0.95	0.42	0.42	90.88%
CP002687.1	7889775	7889990	7889775	7889993	0.45	0.11	0.85	0.43	100.00%
CP002687.1	7922356	7922657	7922356	7922654	0.40	0.40	0.54	0.71	99.01%
CP002687.1	8035711	8038242	8036173	8041299	1.00	0.88	0.77	0.69	81.75%
CP002687.1	8039003	8041317	8036173	8041299	0.66	0.88	0.77	0.69	99.22%
CP002687.1	8142812	8143070	8142893	8143067	0.78	0.52	0.62	0.63	67.57%
CP002687.1	8262357	8262796	8262483	8262829	0.40	0.32	0.43	0.43	71.36%
CP002687.1	8445831	8445988	8445831	8446004	0.24	0.24	0.59	0.56	100.00%
CP002687.1	8623281	8623388	8623281	8623385	0.07	0.07	0.78	0.81	97.22%
CP002687.1	8811525	8811635	8811525	8811632	0.08	0.07	0.81	0.81	97.30%
CP002687.1	9006113	9006346	9006113	9006343	0.16	0.15	0.53	0.53	98.72%
CP002687.1	9055124	9056998	9055154	9056983	0.98	0.95	0.69	0.41	97.60%
CP002687.1	9163512	9163607	9163512	9163604	0.09	0.08	0.83	0.91	96.88%
CP002687.1	9499398	9500063	9497685	9507234	0.55	0.31	0.94	0.79	100.00%
CP002687.1	9528626	9528871	9527567	9530402	0.39	0.81	0.38	0.61	100.00%
CP002687.1	9794796	9794914	9794804	9794911	0.12	0.11	0.75	0.78	90.76%
CP002687.1	9950634	9950872	9950634	9958715	0.24	0.46	0.62	0.65	100.00%
CP002687.1	9958111	9958813	9950634	9958715	0.53	0.46	0.66	0.65	86.06%
CP002687.1	10272975	10273881	10272975	10280131	0.75	0.94	0.59	0.64	100.00%
CP002687.1	11111042	11111134	11111042	11111131	0.78	0.75	1.00	1.00	96.77%
CP002687.1	11114996	11115238	11114993	11115235	0.30	0.30	0.81	0.80	98.77%
CP002687.1	11147244	11147667	11147130	11147694	0.38	0.51	0.41	0.37	100.00%
CP002687.1	11207379	11207948	11206550	11211168	0.38	0.46	0.60	0.90	100.00%
CP002687.1	11233240	11233493	11233219	11233490	0.11	0.12	0.65	0.62	98.82%
CP002687.1	11407024	11407401	11407009	11407476	0.78	0.73	0.29	0.26	100.00%
CP002687.1	11487709	11488773	11487709	11488818	0.95	0.99	0.59	0.57	100.00%
CP002687.1	11535040	11535342	11534998	11535381	0.28	0.28	0.39	0.32	100.00%
CP002687.1	11544944	11545120	11544944	11545117	0.08	0.08	0.59	0.59	98.31%
CP002687.1	11670976	11671541	11670916	11671875	0.34	0.90	0.52	0.51	100.00%
CP002687.1	11740122	11741239	11737839	11741257	0.95	0.98	0.60	0.42	100.00%
CP002687.1	11891677	11892162	11891677	11892162	0.59	0.59	0.41	0.41	100.00%
CP002687.1	12305868	12306197	12305868	12306089	0.90	0.67	0.52	0.64	67.27%
CP002687.1	12509589	12509820	12509386	12509817	0.16	0.20	0.71	0.73	98.71%
CP002687.1	12845179	12845335	12845191	12845332	0.39	0.35	0.83	0.88	90.45%
CP002687.1	12845676	12846012	12845679	12846009	0.66	0.65	0.80	0.81	98.22%
CP002687.1	13294732	13294935	13294323	13296143	0.21	0.85	0.87	0.78	100.00%
CP002687.1	13816781	13816963	13816781	13816960	1.00	0.98	0.64	0.64	98.36%
CP002687.1	14500614	14500869	14500614	14500875	0.17	0.17	0.75	0.68	100.00%
CP002687.1	14786112	14786225	14786109	14786222	0.34	0.34	0.71	0.69	97.37%
CP002687.1	14988877	14989101	14988877	14989247	0.47	0.61	0.95	0.90	100.00%
CP002687.1	15033607	15033816	15033607	15033807	0.17	0.16	0.61	0.62	95.71%
CP002687.1	15627810	15628013	15627810	15628082	0.14	0.22	0.59	0.51	100.00%
CP002687.1	15667734	15668145	15667734	15668142	0.93	0.64	0.47	0.50	99.27%
CP002687.1	16058736	16059045	16058736	16059051	0.15	0.15	0.86	0.78	100.00%
CP002687.1	16252746	16252874	16252746	16252871	0.09	0.09	0.81	0.81	97.67%
CP002687.1	16321340	16321489	16320932	16326124	0.49	0.15	0.65	0.78	100.00%
CP002687.1	16326614	16326745	16326608	16326742	0.04	0.05	0.80	0.78	97.73%
CP002687.1	16718823	16719167	16718823	16719188	0.29	0.30	0.47	0.45	100.00%
CP002687.1	16933547	16933949	16933523	16933818	0.40	0.28	0.69	0.69	67.49%
CP002687.1	17637276	17637634	17637374	17637631	0.41	0.27	0.44	0.35	71.87%
CP002687.1	17706664	17706829	17706664	17706826	0.58	0.57	0.93	0.93	98.19%
CP002687.1	17946154	17946460	17946154	17950997	0.38	0.48	0.94	0.95	100.00%
CP002687.1	18256189	18256713	18256189	18256666	0.41	0.38	0.45	0.46	91.05%
CP002687.1	18547726	18548225	18547729	18548222	0.10	0.10	0.91	0.91	98.80%
CP002685.1	184251	184421	184251	184418	0.92	0.90	0.74	0.74	98.25%
CP002685.1	214573	214680	214573	214839	0.53	0.62	0.60	0.78	100.00%
CP002685.1	478504	478789	478540	478786	0.20	0.18	0.52	0.52	86.36%
CP002685.1	542003	542170	542009	542167	0.74	0.69	0.61	0.67	94.64%
CP002685.1	742590	743256	742581	743304	0.51	0.40	0.55	0.35	100.00%
CP002685.1	781347	781706	781413	781643	0.19	0.13	0.63	0.65	64.17%
CP002685.1	850343	850477	849708	852936	0.03	0.19	0.89	0.64	100.00%
CP002685.1	886072	886419	886171	896339	0.73	0.44	0.52	0.70	71.55%
CP002685.1	895995	896342	886171	896339	0.73	0.44	0.52	0.70	99.14%
CP002685.1	1219281	1219896	1219281	1219881	1.00	0.97	0.70	0.69	97.56%
CP002685.1	1243663	1243983	1243663	1243932	1.00	0.76	0.53	0.82	84.11%
CP002685.1	1293112	1293485	1293112	1293482	1.00	0.99	0.87	0.81	99.20%
CP002685.1	1317226	1317425	1317196	1317431	0.62	0.74	0.54	0.46	100.00%
CP002685.1	1340065	1340636	1340065	1340633	0.47	0.47	0.81	0.81	99.48%
CP002685.1	1365346	1365556	1365097	1365513	1.00	0.37	0.63	0.40	79.62%
CP002685.1	1387761	1387925	1387791	1388741	0.16	0.99	0.85	0.88	81.82%
CP002685.1	1388311	1388490	1387791	1388741	0.14	0.99	0.83	0.88	100.00%
CP002685.1	1388502	1388768	1387791	1388741	0.41	0.99	0.92	0.88	89.89%
CP002685.1	1399630	1401268	1399630	1401053	0.99	0.87	0.62	0.69	86.88%
CP002685.1	1441536	1441711	1441536	1441708	0.07	0.07	0.66	0.66	98.30%
CP002685.1	1470620	1471426	1470002	1471411	0.98	0.93	0.72	0.74	98.14%
CP002685.1	1605722	1606151	1605722	1606357	0.42	0.40	0.74	0.81	100.00%
CP002685.1	1609971	1610219	1609971	1610219	0.20	0.15	0.78	0.81	100.00%
CP002685.1	1649158	1652169	1649152	1652205	0.70	0.71	0.54	0.41	100.00%
CP002685.1	1692722	1693465	1692731	1693471	0.57	0.58	0.46	0.53	98.79%
CP002685.1	1772241	1772579	1772253	1772502	0.19	0.14	0.46	0.51	73.75%
CP002685.1	1795174	1795302	1795162	1795320	0.12	0.15	0.67	0.59	100.00%
CP002685.1	1840642	1841054	1840688	1841051	0.77	0.63	0.62	0.62	88.14%
CP002685.1	1868399	1868758	1868378	1868782	0.68	0.76	0.36	0.35	100.00%
CP002685.1	1874040	1874997	1874040	1874936	0.39	0.35	0.61	0.64	93.63%
CP002685.1	1878759	1879057	1878770	1879054	0.26	0.27	0.72	0.58	95.32%
CP002685.1	1880830	1881246	1880818	1881243	0.42	0.43	0.67	0.66	99.28%
CP002685.1	1886094	1886968	1885356	1886968	0.96	0.97	0.66	0.32	100.00%
CP002685.1	1931293	1932717	1931227	1932714	0.86	0.98	0.75	0.42	99.79%
CP002685.1	1944548	1944853	1944560	1944784	0.51	0.38	0.67	0.72	73.53%
CP002685.1	2115758	2116625	2115871	2116697	0.36	0.59	0.36	0.38	86.98%
CP002685.1	2154670	2154876	2154670	2160767	0.13	0.23	0.70	0.73	100.00%
CP002685.1	2160407	2160770	2154670	2160767	0.23	0.23	0.79	0.73	99.18%
CP002685.1	2170571	2170729	2170571	2170726	0.72	0.75	0.82	0.74	98.11%
CP002685.1	2282560	2282792	2282521	2282786	0.40	0.45	0.83	0.76	97.42%
CP002685.1	2293751	2294013	2293613	2293968	0.47	0.45	0.46	0.65	82.89%
CP002685.1	2295405	2295801	2295405	2295825	0.48	0.51	0.50	0.50	100.00%
CP002685.1	2298311	2298789	2298311	2298786	0.67	0.67	0.89	0.90	99.37%
CP002685.1	2369942	2371231	2369792	2371284	0.50	0.95	0.43	0.49	100.00%
CP002685.1	2474212	2474767	2474212	2474764	0.98	0.97	0.65	0.66	99.46%
CP002685.1	2483710	2484531	2477840	2488192	0.79	0.77	0.37	0.35	100.00%
CP002685.1	2485356	2485517	2477840	2488192	0.50	0.77	0.66	0.35	100.00%
CP002685.1	2560467	2560897	2560470	2561096	0.42	0.39	0.74	0.82	99.30%
CP002685.1	2614823	2616121	2614647	2626422	0.50	0.99	0.52	0.40	100.00%
CP002685.1	2618597	2619115	2614647	2626422	0.25	0.99	0.38	0.40	100.00%
CP002685.1	2621759	2622127	2614647	2626422	0.79	0.99	0.46	0.40	100.00%
CP002685.1	2697299	2697541	2697299	2697502	0.24	0.15	0.55	0.70	83.95%
CP002685.1	2766762	2767513	2766762	2773352	0.32	0.99	0.45	0.61	100.00%
CP002685.1	2809743	2809902	2809743	2809887	0.35	0.31	0.68	0.71	90.62%
CP002685.1	2823777	2825558	2823777	2825555	0.84	0.83	0.72	0.75	99.83%
CP002685.1	2835417	2836799	2835417	2836568	0.88	0.69	0.27	0.28	83.30%
CP002685.1	2854525	2857702	2854974	2866922	1.00	0.65	0.82	0.65	85.87%
CP002685.1	2865596	2865844	2854974	2866922	0.20	0.65	0.61	0.65	100.00%
CP002685.1	2883595	2883937	2883654	2885718	0.70	0.86	0.45	0.49	82.80%
CP002685.1	2884076	2884408	2883654	2885718	0.68	0.86	0.58	0.49	100.00%
CP002685.1	2885471	2885721	2883654	2885718	0.23	0.86	0.58	0.49	98.80%
CP002685.1	2893058	2893308	2893111	2893272	0.13	0.09	0.66	0.67	64.54%
CP002685.1	2920216	2920633	2920207	2920594	0.46	0.43	0.57	0.58	90.67%
CP002685.1	2973640	2974551	2962985	2974542	0.90	0.96	0.47	0.31	99.01%
CP002685.1	3132899	3133503	3133122	3133500	0.35	0.26	0.82	0.83	62.64%
CP002685.1	3178805	3179254	3177801	3179407	1.00	0.96	0.91	0.34	100.00%
CP002685.1	3279117	3279609	3279027	3279572	1.00	0.27	1.00	0.48	92.49%
CP002685.1	3314075	3314407	3314069	3314800	0.85	0.99	0.89	0.69	100.00%
CP002685.1	3333304	3338523	3333304	3338520	0.61	0.62	1.00	0.97	99.94%
CP002685.1	3336948	3337333	3333304	3338520	1.00	0.62	0.98	0.97	100.00%
CP002685.1	3368151	3369305	3368151	3369302	1.00	1.00	0.99	0.99	99.74%
CP002685.1	3390694	3394531	3388454	3394528	0.82	1.00	0.99	0.93	99.92%
CP002685.1	3414026	3414884	3414044	3414881	1.00	1.00	1.00	0.92	97.56%
CP002685.1	3448964	3449259	3449051	3449256	0.60	0.42	0.80	0.76	69.59%
CP002685.1	3703540	3703698	3703540	3708662	0.35	0.99	0.64	0.78	100.00%
CP002685.1	3707505	3708665	3703540	3708662	1.00	0.99	0.87	0.78	99.74%
CP002685.1	3782570	3782841	3782575	3782838	0.10	0.21	0.78	0.35	97.06%
CP002685.1	3782947	3784034	3782956	3794584	0.79	0.90	0.83	0.56	99.17%
CP002685.1	3784993	3794581	3782956	3794584	0.61	0.90	0.76	0.56	100.00%
CP002685.1	3896855	3897106	3896923	3898037	0.43	0.33	0.72	0.74	73.02%
CP002685.1	3924895	3925764	3924138	3925761	0.94	0.96	0.33	0.26	99.66%
CP002685.1	3925836	3927543	3925836	3927561	0.73	0.69	0.50	0.51	100.00%
CP002685.1	3928020	3928817	3928020	3928527	0.97	0.57	0.41	0.45	63.66%
CP002685.1	4019781	4020376	4019781	4020296	0.70	0.58	0.37	0.83	86.58%
CP002685.1	4078272	4078577	4078179	4078598	0.35	0.52	0.52	0.42	100.00%
CP002685.1	4155768	4156207	4151757	4160973	0.93	0.52	0.72	0.71	100.00%
CP002685.1	4211907	4212656	4211907	4212653	0.74	0.73	0.71	0.71	99.60%
CP002685.1	4221624	4221813	4221624	4227244	0.62	0.58	0.89	0.93	100.00%
CP002685.1	4223690	4223935	4221624	4227244	0.30	0.58	0.88	0.93	100.00%
CP002685.1	4227067	4227256	4221624	4227244	0.62	0.58	0.89	0.93	93.68%
CP002685.1	4251428	4251977	4251428	4251974	0.25	0.25	0.80	0.84	99.45%
CP002685.1	4260993	4261844	4260276	4261855	0.82	0.97	0.44	0.29	100.00%
CP002685.1	4327263	4327523	4327263	4327587	0.27	0.65	0.81	0.77	100.00%
CP002685.1	4340239	4340418	4340239	4340415	0.12	0.12	0.50	0.50	98.33%
CP002685.1	4487891	4488355	4487834	4488352	0.24	0.26	0.46	0.44	99.35%
CP002685.1	4489061	4489333	4488983	4489384	0.22	0.23	0.34	0.28	100.00%
CP002685.1	4524730	4524953	4524798	4524950	0.68	0.16	0.44	0.54	68.30%
CP002685.1	4646539	4646970	4646539	4646967	0.96	0.95	0.67	0.66	99.31%
CP002685.1	4652165	4652265	4652165	4652260	0.15	0.14	0.82	0.82	95.05%
CP002685.1	4665534	4666928	4665045	4666916	0.48	0.86	0.25	0.27	99.14%
CP002685.1	4792222	4792799	4792222	4792832	1.00	0.97	0.86	0.46	100.00%
CP002685.1	4830686	4831244	4830686	4831241	0.42	0.42	0.72	0.76	99.46%
CP002685.1	4833107	4833619	4833107	4833616	0.83	0.82	0.93	0.93	99.42%
